sample_barcode,lab_id,date_received,date_processed,ph,copper_ppm,zinc_ppm
PYB6134-404166,PSL-73 72846,2024-02-02,2024-02-08,6.74,10.7,5.23
PYB8638-328304,PSL-77 74041,2024-10-11,2024-10-17,6.43,6.34,5.64
PYB7141-642256,PSL-82 22558,2024-08-28,2024-09-03,5.58,3.64,39.8
PYB8317-560267,PSL-32 00384,2024-06-10,2024-06-15,6.96,5.72,6.92
PYB3773-822651,PSL-80 07003,2024-06-07,2024-06-13,6.20,6.71,15.3
PYB7170-777546,PSL-86 07778,2024-11-11,2024-11-14,6.23,5.47,3.19
PYB2754-450121,PSL-28 27575,2024-02-01,2024-02-06,5.97,5.81,9.61
PYB3654-750655,PSL-55 76174,2024-09-12,2024-09-18,6.17,7.97,21.6
PYB5405-725033,PSL-24 87747,2024-03-14,2024-03-20,6.71,3.17,2.78
PYB8123-870270,PSL-36 52201,2024-02-04,2024-02-14,6.41,0.964,8.54
PYB7282-351547,PSL-34 13523,2024-07-12,2024-07-23,6.66,7.78,8.21
PYB8533-372130,PSL-34 36233,2024-12-24,2025-01-01,6.68,0.955,18.4
PYB0066-646184,PSL-16 22786,2024-09-27,2024-10-01,7.16,2.65,17.4
PYB8146-441322,PSL-87 46244,2024-10-06,2024-10-11,6.33,5.73,18.4
PYB6553-803138,PSL-87 45174,2024-09-20,2024-09-30,5.76,5.86,15.2
PYB3846-426827,PSL-46 50216,2024-10-15,2024-10-19,7.03,3.28,17.4
PYB2674-620048,PSL-01 56478,2024-07-07,2024-07-14,6.33,3.89,4.64
PYB1461-627541,PSL-18 55056,2024-02-17,2024-02-22,7.06,5.38,15.3
PYB4706-465325,PSL-50 48618,2024-11-04,2024-11-10,6.69,2.32,30.5
PYB1505-506370,PSL-81 73547,2024-06-14,2024-06-20,6.43,11.9,13.3
PYB1412-516015,PSL-87 88026,2024-07-02,2024-07-08,6.67,1.91,8.26
PYB7128-854355,PSL-50 04511,2024-05-16,2024-05-21,7.48,3.58,8.83
PYB2018-344700,PSL-15 05446,2024-03-07,2024-03-10,7.54,2.90,29.1
PYB2464-381544,PSL-46 68744,2024-12-06,2024-12-14,6.53,4.61,1.21
PYB7282-447320,PSL-25 18717,2024-10-13,2024-10-22,6.58,11.5,51.0
PYB3708-412420,PSL-16 04563,2024-08-24,2024-08-31,7.04,1.81,2.30
PYB5612-256686,PSL-86 16636,2024-05-27,2024-05-29,6.08,5.80,10.6
PYB2058-822014,PSL-87 65273,2024-10-28,2024-11-02,6.67,6.58,5.44
PYB4327-478218,PSL-42 21810,2024-07-19,2024-07-22,6.49,9.08,18.2
PYB5254-828811,PSL-84 36316,2024-06-11,2024-06-17,6.66,2.11,20.2
PYB4023-881806,PSL-14 88375,2024-06-14,2024-06-25,6.08,2.03,14.6
PYB7828-144206,PSL-41 35806,2024-03-24,2024-04-02,5.71,3.61,11.8
PYB3533-706632,PSL-78 31277,2024-02-03,2024-02-12,5.46,3.67,2.92
PYB0882-010781,PSL-51 14506,2024-07-22,2024-07-29,5.94,1.69,9.85
PYB6135-670122,PSL-40 04673,2024-11-21,2024-12-02,6.27,6.69,11.5
PYB8628-443180,PSL-28 42302,2024-01-24,2024-02-01,6.35,6.23,5.49
PYB1221-068124,PSL-48 67403,2024-11-10,2024-11-21,7.47,14.8,16.0
PYB8665-317706,PSL-80 76277,2024-10-30,2024-10-31,7.05,3.25,14.6
PYB0671-315803,PSL-00 58051,2024-04-11,2024-04-21,6.02,1.64,10.3
PYB8214-452842,PSL-55 06870,2024-08-19,2024-08-28,6.67,1.91,12.8
PYB8840-541570,PSL-22 41767,2024-03-01,2024-03-06,6.30,5.34,10.2
PYB6163-081518,PSL-10 82580,2024-10-05,2024-10-12,6.36,2.15,3.01
PYB6734-577050,PSL-00 10758,2024-09-14,2024-09-20,6.59,7.04,17.7
PYB2727-423465,PSL-78 22720,2024-05-10,2024-05-17,6.81,2.39,0.958
PYB8765-231383,PSL-67 88167,2024-01-25,2024-01-28,6.33,4.80,15.6
PYB1587-244222,PSL-67 74041,2024-12-22,2024-12-29,7.03,3.95,4.49
PYB8677-807045,PSL-11 64464,2024-06-12,2024-06-16,5.93,1.89,16.3
PYB3117-228188,PSL-50 74176,2024-11-23,2024-11-27,6.50,1.01,16.7
PYB5112-514140,PSL-01 02064,2024-09-05,2024-09-11,7.80,9.63,16.7
PYB6011-703546,PSL-86 54005,2024-10-12,2024-10-17,6.61,5.45,21.6
