"","","","","","","","","",""
Analysis Date,"","","","","","","","",""
sample_barcod,lab_id,Date_Recieved,date_proccessed,ph,Copper_Ppm,zinc_ppm,"","",""
PYB2514-101144,PSL-03 00107,2024-02-06,2024-02-08,6.55,2.61,24.1,"","",""
PYB5310-682121,PSL-14 65537,2024-02-06,2024-02-15,6.75,5.24,15.1,"","",""
PYB2476-834303,PSL-00 70110,2024-01-09,2024-01-16,7.32,3.38,34.8,"","",""
PYB2416-780187,PSL-15 50806,2024-12-18,2024-12-25,6.68,9.96,11.5,"","",""
PYB5244-740662,PSL-74 40273,2024-04-02,2024-04-06,6.82,3.34,4.45,"","",""
PYB1174-480174,PSL-06 60010,2024-06-05,2024-06-16,6.86,4.66,18.3,"","",""
PYB0617-774275,PSL-51 51863,2024-01-16,2024-01-24,5.92,5.75,9.38,"","",""
PYB5155-261685,PSL-30 04053,2024-08-16,2024-08-23,6.02,1.20,22.0,"","",""
PYB0444-252555,PSL-14 46147,2024-10-28,2024-11-06,5.96,2.79,7.45,"","",""
PYB7767-722446,PSL-27 63782,2024-11-04,2024-11-07,5.83,14.5,31.1,"","",""
PYB0167-225414,PSL-80 10385,2024-08-01,2024-08-12,6.90,8.02,14.3,"","",""
PYB7675-720185,PSL-50 43421,2024-08-30,2024-09-01,6.65,3.31,12.5,"","",""
PYB2725-202240,PSL-85 30643,2024-07-07,2024-07-15,6.54,7.23,29.9,"","",""
PYB2535-587265,PSL-61 47402,2024-06-12,2024-06-17,5.20,9.85,24.3,"","",""
PYB5713-780421,PSL-04 31613,2024-07-22,2024-07-31,7.53,3.73,8.22,"","",""
PYB0464-365832,PSL-80 22428,2024-12-09,2024-12-17,6.05,7.76,23.9,"","",""
PYB4447-043157,PSL-08 40102,2024-04-02,2024-04-11,7.53,7.02,20.9,"","",""
PYB4003-622700,PSL-25 26222,2024-06-21,2024-06-30,5.78,1.60,12.9,"","",""
PYB1841-286220,PSL-27 22851,2024-08-08,2024-08-16,6.09,3.74,22.7,"","",""
PYB6123-557233,PSL-71 14616,2024-07-28,2024-08-01,5.40,12.2,31.0,"","",""
PYB0644-818616,PSL-17 04525,2024-01-12,2024-01-20,6.68,14.2,13.2,"","",""
PYB6337-105841,PSL-65 36626,2024-04-15,2024-04-22,5.95,8.06,13.2,"","",""
PYB4275-356635,PSL-87 66726,2024-08-25,2024-09-02,5.96,2.72,12.7,"","",""
PYB0334-884504,PSL-13 82731,2024-09-11,2024-09-21,5.81,0.427,7.98,"","",""
PYB6684-885036,PSL-04 44020,2024-09-26,2024-10-03,6.89,2.42,13.1,"","",""
PYB5870-737440,PSL-28 16058,2024-12-29,2025-01-03,6.86,1.40,12.1,"","",""
PYB1554-140145,PSL-31 52875,2024-09-04,2024-09-10,7.41,12.8,11.7,"","",""
PYB5873-707368,PSL-55 64830,2024-07-31,2024-08-11,6.16,0.776,11.5,"","",""
PYB6801-541608,PSL-65 83353,2024-05-01,2024-05-11,6.61,1.64,5.83,"","",""
PYB1474-668484,PSL-73 73284,2024-05-15,2024-05-22,5.86,5.16,25.8,"","",""
PYB8615-717077,PSL-65 38383,2024-10-30,2024-11-05,6.33,4.41,9.17,"","",""
PYB1615-811330,PSL-00 84375,2024-06-21,2024-06-29,6.24,11.8,32.1,"","",""
PYB4212-088374,PSL-56 10606,2024-09-19,2024-09-24,6.73,6.72,6.83,"","",""
PYB8126-173347,PSL-12 65750,2024-02-15,2024-02-21,7.01,3.95,36.5,"","",""
PYB0677-874437,PSL-71 17144,2024-02-17,2024-02-24,7.00,10.1,10.8,"","",""
PYB3502-234631,PSL-60 03475,2024-03-20,2024-03-28,6.08,3.23,24.1,"","",""
PYB4076-220308,PSL-18 48804,2024-03-12,2024-03-19,7.00,12.5,15.0,"","",""
PYB1552-707657,PSL-34 25412,2024-08-10,2024-08-16,6.48,2.15,5.21,"","",""
PYB3218-372872,PSL-17 63302,2024-08-21,2024-08-27,6.34,4.29,5.43,"","",""
PYB4720-251380,PSL-80 17404,2024-07-23,2024-07-28,6.15,0.517,8.63,"","",""
